,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
373,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2688-gracia-miraflores-lima-lima-urbana-per%C3%BA,Gracia,-12.1277055,-77.0075267,Av. Aflredo Benavides 2543,Miraflores,En planos,"30 de Diciembre, 2025",Banco Scotiabank,"['Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,Tipo X02,Pisos: Entre 3 al 15,2,117.47 m2,"S/ 897,837"
4068,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO G',Pisos: Entre 3 al 10,2,62.50 m2,"S/ 445,625"
2561,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3038-casaparq-cerro-colorado-iii-cerro-colorado-arequipa-arequipa-cissac,CasaParq Cerro Colorado III,-16.3734647,-71.5542996,Calle A 1 Urb.El Rosario II Condominio Casaparq,Cerro Colorado,En construcción,"30 de Septiembre, 2025","Banco BANBIF, Otros","['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,Modelo 2,"Pisos: 1, 7, 8, 9, 10",3,74.99 m2,"S/ 285,112"
3779,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2929-batallon-tarma-684-santiago-de-surco-lima-lima-grupo-edifikarte,BATALLON TARMA 684,-12.1158122,-76.98143019999999,jiron batallon tarma 684,Santiago De Surco,En construcción,"30 de Noviembre, 2024",Banco BCP,"['Ascensor directo', 'Lobby', 'Zona de Parrillas', 'Otros']",duplex,D,Piso: 6,3,148.16 m2,"S/ 1,210,000"
288,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1974-invent-chorrillos-chorrillos-lima-lima-invent,Invent Chorrillos,-12.1661626,-77.0245367,Calle José Olaya 225,Chorrillos,Entrega inmediata,"29 de Febrero, 2024",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 14,Pisos: Entre 1 al 12,1,38.14 m2,"S/ 243,921"
1386,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2226-schell-miraflores-lima-lima-volterra,Schell,-12.123481843333906,-77.02599383268344,calle Schell 605,Miraflores,En construcción,"30 de Junio, 2025",Banco BCP,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 9,Pisos: Entre 3 al 11,2,74.52 m2,"S/ 693,622"
2377,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3204-bartolome-herrera-266-santiago-de-surco-lima-lima-inmobiliaria-ayd,Bartolomé Herrera 266,-12.1252695,-76.9844452,Jiron bartolome herrera 266,Santiago De Surco,En construcción,"31 de Julio, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Lobby']",duplex,TIPO E,Piso: 6,3,190.00 m2,"$ 322,500"
6450,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3008-amatista-cercado-de-lima-lima-lima-marte,Amatista,-12.062240165549236,-77.0430357894384,Av. Brasil 325,Cercado de lima,En planos,"31 de Diciembre, 2025",Banco BCP,[],flat,Tipo 1,Pisos: Entre 2 al 27,3,61.67 m2,"S/ 385,335"
5063,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2730-emerald-pueblo-libre-2-pueblo-libre-lima-lima-fai-inmobiliaria,Emerald Pueblo Libre 2,-12.076693493713218,-77.0567324978256,Calle Jose Ugarteche 103 Pueblo Libre,Pueblo Libre,En construcción,"31 de Octubre, 2025",Banco BCP,"['Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X6,"Pisos: 5, 6, 7, 8, 9",3,69.80 m2,"S/ 467,818"
5938,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2256-edificio-portofino-miraflores-lima-lima-c-&-v-grupo-inmobiliario,Edificio Portofino,-12.1181942,-77.0425557,"Av. Santa Cruz 1550, Miraflores",Miraflores,Entrega inmediata,"30 de Agosto, 2024",BBVA,"['Areas verdes', 'Boulevard peatonal', 'Cuarto servicio', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,9,Pisos: Entre 1 al 10,3,73.14 m2,"$ 205,539"
5438,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3017-ascenza-pueblo-libre-lima-lima-fcm-construcciones,Ascenza,-12.0679143,-77.06946390000002,Av. Mariano Cornejo 1685,Pueblo Libre,En planos,"30 de Septiembre, 2025",Banco BANBIF,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,T01,"Pisos: 15, 16, 17, 19, 20",2,58.70 m2,"S/ 388,900"
1297,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3407-altaris-miraflores-lima-lima-capac-asociados,ALTARIS,-12.1255357,-77.00375249999999,av. tomás marsano 2550,Miraflores,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,X05B,Pisos: Entre 3 al 15,1,58.25 m2,"S/ 469,000"
3764,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3285-bolona-256-miraflores-lima-lima-ee-inmobiliaria,Boloña 256,-12.1211869,-77.0191803,Av. Monseñor Roca y Boloña 256,Miraflores,En planos,"31 de Agosto, 2025",Banco BCP,['Lobby'],flat,Tipo 02,Pisos: Entre 2 al 9,1,60.01 m2,"$ 125,000"
